AMR surveillance system,AMR laboratory network and coordination capacity,Antimicrobial control and optimization,Improve awareness and understanding ,Antimicrobial resistance rate for important antibiotics
19.32,22.83,29.13,5.21,14.27
39.87,52.89,38.82,65.62,14.72
15.37,26.65,17.37,25,30.95
46.3,55.07,54.33,81.25,18.39
27.29,32.17,22.74,43.75,20.78
33.38,41.27,30.69,46.88,13.26
14.22,20.28,15.49,37.5,17.29
51.25,48.28,62.55,56.25,37.33
17.69,22.02,31.06,25,15.02
14.67,16.58,18.5,21.88,33.18
30.51,52.74,27.66,43.75,10.67
6.54,26.65,27.9,34.38,23.08
30.71,44.82,66.69,56.25,21.81
56.05,62.68,66.33,71.88,19.13
45.47,43.96,52.59,62.5,21.29
17.19,26.65,23.77,43.75,25.91
34.46,34.91,48.22,53.12,17.57
58.58,65.37,57.82,43.75,18.5
45.53,25.88,61.19,71.88,16.52
58.97,45.96,43.58,53.12,15.42
53.69,48.71,57.92,56.25,33.72
22.71,14.3,28.83,37.5,13.28
68.52,73.39,72.26,96.88,44.24
26.01,23.99,29.62,21.88,14.96
38.46,32.48,52.45,43.75,18.59
46.1,52.68,38.65,65.62,15.96
46.08,55.46,43.37,65.62,35.64
12.13,30.98,16.21,56.25,16.2
54.21,69.62,80.68,65.62,44.68
79.06,75.44,73.77,93.75,40.85
14.97,18.39,6.1,18.75,17.56
14.18,30.31,29.99,53.12,14.35
62.3,58.31,73.47,78.12,43.85
42.96,40.49,41,53.12,14.3
55.81,58.31,72.09,75,12.22
41.52,38.48,27.63,65.62,13.51
33.49,40.57,46.64,43.75,20.74
9.82,24.45,27.6,34.38,19.03
10.69,11.64,30.68,21.88,16.64
63.95,43.61,46.63,53.12,25.77
88.51,63.33,55.9,50,44.07
37.96,54.78,37.9,46.88,3.63
71.31,51.19,63.3,71.88,43.6
41.48,63.35,62.95,59.38,16.64
45.23,59.3,50.55,56.25,10.13
34.33,58.99,37.98,43.75,14.24
77.73,48.86,63.52,46.88,42.55
41.93,26.3,53.8,53.12,41.64
57.36,71.66,53.69,68.75,16.6
37.35,46.55,34.09,37.5,12.55
79.83,57.01,66.38,87.5,40.8
40.23,38.1,47.83,46.88,22.1
21.35,39.09,10.34,34.38,29.13
86.55,62.24,70.08,90.62,43.27
65.23,49,37.56,59.38,12.98
41.55,59.36,51.51,68.75,10.48
47.9,71.94,66.89,62.5,27.33
32.83,28.5,38.15,62.5,11.29
29.78,54.97,28.79,40.62,31.97
23.5,47.03,23.45,43.75,12.4
3.62,24.6,26.47,40.62,17.18
46.88,63.09,57.91,68.75,26.5
13.6,35.06,35.29,59.38,23.54
1.83,43.18,10.96,31.25,12.36
44.56,42.03,46.56,81.25,24.92
70.68,67.73,46.49,50,40.86
22.14,30.43,31.52,34.38,27.15
22.43,36.32,30.31,21.88,23.84
60.8,71.94,78.76,93.75,32.89
24.62,51.57,19.89,34.38,24.59
51.21,38.56,51.99,59.38,30.24
9.91,20.83,24.71,40.62,12.76
21.3,41.13,49.01,50,22.91
21.98,30.58,23.91,37.5,24.71
64.24,46.55,46.61,56.25,18.5
17.74,35.23,38.36,34.38,13.52
22.04,24.72,43.24,40.62,12.72
18.66,34.79,38.45,28.12,17.9
27.34,57.37,26.23,46.88,10.51
43.52,66.85,35.59,62.5,20.34
36.5,48.43,48.35,53.12,39.46
13.07,39.26,30.24,53.12,11.91
46.07,36.5,64.65,59.38,19.77
34.61,22.71,33.47,53.12,13.03
20.37,31.29,34.58,43.75,24.23
31.65,55.33,38.14,43.75,19.24
88.45,56.11,74,90.62,44.58
36.29,51.04,55.99,56.25,36.97
23,38.71,43.48,46.88,9.47
61.25,69.3,81.75,65.62,42.31
16.47,10.37,32.96,15.62,24.43
36.31,40.65,34.2,75,9.13
62.47,73.39,80.6,96.88,44.81
25.57,55.52,21.71,40.62,6.22
7.25,26.51,1.48,31.25,17.59
36.6,41.43,48.59,43.75,12.96
31.99,28,40.75,40.62,20.72
38.37,52.92,52.87,65.62,22
42.86,57.66,30.34,43.75,21.17
59.68,69.46,77.95,65.62,32.71
28.39,53.59,33.49,53.12,16.57
32.48,46.49,42.81,50,33.24
33.92,58.95,36.03,40.62,17.38
31.75,46.2,61.24,50,13.48
51.51,59.16,49.17,78.12,10.99
15.12,24.6,60.26,56.25,21.05
43.84,14.7,46.95,15.62,18.21
42.2,56.71,47.93,59.38,10.18
23.55,24.6,13.21,37.5,12.76
35.25,43.04,55.47,62.5,20.44
10.22,16.89,20.61,25,22.92
9.01,20.44,18.92,28.12,30.15
52.13,67.31,62.61,59.38,34.65
31.19,71.66,52.45,59.38,27.73
71.86,41.59,43.19,34.38,18.27
53.85,50.6,57.43,46.88,39.17
27.49,36.71,35.26,34.38,20.81
32.34,48.9,37.64,53.12,12.93
14.64,26.34,33.86,40.62,15.94
62.15,64.28,67.62,90.62,29.61
32.86,57.25,32.55,53.12,20.53
87.57,62.24,79.18,87.5,44
82.68,58.62,62.46,65.62,43.45
28.88,24.92,54.28,50,21.22
28.55,46.27,28.38,43.75,22.06
68.42,70.9,52.74,81.25,28.23
20.5,17.05,22.03,37.5,21.89
13.85,8.02,35.46,31.25,23.26
29.53,36.81,52.78,40.62,25.83
23.15,31.22,35.95,46.88,22.63
53.31,22.99,47.07,59.38,18
17.33,42.5,20.84,34.38,20.82
23.91,26.61,23.43,25,13.22
42.76,54.16,46.44,50,22.9
14.79,34.32,28.35,40.62,17.75
46.56,49.02,44.38,68.75,11.62
23.4,51.28,20.54,46.88,5.91
84.62,54.84,74.95,71.88,43.43
32.58,48.28,30.99,53.12,20.05
9.37,28.08,43.44,37.5,13.69
51.87,52.37,63.23,96.88,40.36
42.08,45.51,26.79,56.25,19.18
33.32,32.32,50,65.62,25.22
10.42,22.68,40.78,53.12,19.91
40.92,48.9,37.07,40.62,21.79
28.01,56.06,30.35,40.62,37.47